x, y
0, 8.32739e-76
1, 1.70196e-73
2, 3.06463e-71
3, 4.8867e-69
4, 6.90892e-67
5, 8.64248e-65
6, 9.50533e-63
7, 9.07158e-61
8, 7.30723e-59
9, 4.63821e-57
10, 1.78517e-55
11, -5.48243e-54
12, -1.95181e-51
13, -2.40417e-49
14, -2.17267e-47
15, -1.6192e-45
16, -1.03659e-43
17, -5.80604e-42
18, -2.87075e-40
19, -1.25787e-38
20, -4.88558e-37
21, -1.67668e-35
22, -5.04445e-34
23, -1.30905e-32
24, -2.82861e-31
25, -4.62766e-30
26, -3.56066e-29
27, 1.0509e-27
28, 6.12127e-26
29, 1.916e-24
30, 4.62705e-23
31, 9.36206e-22
32, 1.6383e-20
33, 2.51662e-19
34, 3.4179e-18
35, 4.11537e-17
36, 4.38998e-16
37, 4.13068e-15
38, 3.39502e-14
39, 2.38886e-13
40, 1.37483e-12
41, 5.63934e-12
42, 5.02647e-12
43, -1.87318e-10
44, -2.36013e-09
45, -1.91988e-08
46, -1.24677e-07
47, -6.86623e-07
48, -3.28841e-06
49, -1.38618e-05
50, -5.17232e-05
51, -0.000171127
52, -0.000501173
53, -0.00129188
54, -0.00289594
55, -0.00550529
56, -0.00835491
57, -0.00818628
58, 0.00271189
59, 0.0375611
60, 0.113047
61, 0.242495
62, 0.425456
63, 0.639052
64, 0.838451
65, 0.970342
66, 0.994895
67, 0.904349
68, 0.726798
69, 0.512734
70, 0.312842
71, 0.159926
72, 0.0630761
73, 0.0133686
74, -0.00559186
75, -0.00897198
76, -0.0067702
77, -0.003868
78, -0.00184011
79, -0.000755062
80, -0.000271612
81, -8.63312e-05
82, -2.43238e-05
83, -6.07317e-06
84, -1.33858e-06
85, -2.58131e-07
86, -4.27596e-08
87, -5.84125e-09
88, -5.85436e-10
89, -2.03009e-11
90, 8.16062e-12
91, 2.61755e-12
92, 5.09094e-13
93, 7.80242e-14
94, 1.00929e-14
95, 1.13289e-15
96, 1.11805e-16
97, 9.76263e-18
98, 7.55841e-19
99, 5.18205e-20
